,domain,slot,source_value
0,attraction,address,"No. 338, Liuyuan Road, Changmenwai, Gusu District, Suzhou City"
1,attraction,address,"No. 49, Dongda Street, Gusu District, Suzhou City, Jiangsu Province"
2,attraction,address,"150 meters west of the intersection of Xingzhou Street and Xinggang Street, Suzhou Industrial Park"
3,attraction,address,"No. 268, Wangdun Road, Suzhou Industrial Park"
4,attraction,consumption,slightly expensive
5,attraction,features,"This famous thousand-year temple is also the one in the poem ""Beyond the Gusu District, from the Hanshan Temple"". Tourists often strike the bell in the temple and pray for blessings."
6,attraction,features,"In the Suzhou-styled garden with humbleness, there are three treasures: Guanyun Peak, Nanmu Hall, and fish fossils."
7,attraction,features,"Walk around the well-preserved ancient blocks, watch the bridges and flowing water, visit the literary and artistic shops, and eat delicious food."
8,attraction,features,Climb or take a boat to visit the only water and land city gate in China — Pan Gate. Walk across the Wumen Bridge and visit the Ruiguang Tower.
9,attraction,features,"It is a good place to climb the mountain. At the top, we can overlook the scenery of Suzhou City, worship Buddha, and pray for blessings in Lingyan Mountain Temple."
10,attraction,features,"The Huanshan Road, like a jade belt, enables the visitors to enjoy  Taihu Lake and exquisite ancient buildings along the road and they can taste the white fish, silverfish, and white shrimp of Taihu Lake."
11,attraction,features,"Yuanrong Times Square is a large-scale, comprehensive, modern, and high-quality commercial complex integrating shopping, catering, leisure, entertainment, business, culture, tourism, and other functions."
12,attraction,features,It was once an imperial path passed by Emperor Qianlong when he visited the south of the Yangtze River for the sixth time and there was a palace site. It was once a place where King Goujian of Yue endured hardships for nine years and raised horses for King Wu.
13,attraction,metro station,false
14,attraction,name,Panmen Scenic Area
15,attraction,opening hours,06:00-17:30
16,attraction,opening hours,09:30-17:30
17,car,cruise control system,true
18,car,cruise control system,false
19,car,heated seats,false
20,car,heated seats,true
21,car,name,POLO Automatic Panoramic Enjoyment Version
22,car,name,Golf 200TSI DSG Comfortable Version
23,car,name,Volkswagen Beetle 180TSI Version
24,car,name,Tharu 330TSI All-wheel Luxury Version
25,car,name,Golf 1.8TSI Travel Version
26,car,name,Volkswagen Beetle 280TSI Version
27,car,name,Tiguan-L 280TSI Automatic Two-wheel Panoramic Comfortable Version
28,car,name,FAW-Volkswagen Magotan 330TSI DSG Luxury Version
29,car,name,SAIC Volkswagen Passat 330TSI Luxury Version
30,car,name,Tiguan-L 330TSI Automatic Two-wheel Intelligent Luxury Version
31,car,name,Volkswagen Golf Variant GTE
32,car,name,Volkswagen Golf Variant 380TSI All-wheel Version
33,car,name,Teramont X 530 V6 All-wheel Deluxe Version
34,car,name,Touree 3.0TSI Version
35,car,parking assist system,false
36,car,parking assist system,true
37,car,power level,normal
38,car,pricerange,"<150,000"
39,car,pricerange,">300,000"
40,car,series,POLO
41,car,series,Volkswagen Beetle
42,car,series,Sharan
43,car,series,Caravelle
44,car,series,Touareg
45,car,ventilated seats,false
46,car,ventilated seats,true
47,class,campus,"Central Scenery City, Suzhou Industrial Park"
48,class,campus,"Xijin Commercial Square, Suzhou New District"
49,class,campus,"Shimao Plaza, Wuzhong District"
50,class,campus,"Yuexi, Wuzhong District"
51,class,classroom,"Room 317, Wuzhong Mansion Learning Center"
52,class,classroom,"Room 202, Xinghai Square Leaning Center"
53,class,classroom,"Room 202, Jinhe International Building"
54,class,classroom,"Room 417, Leqiao Learning Center"
55,class,classroom,"Room 317, Lohas Town Learning Center"
56,class,classroom,"Room 309, Double Lake Plaza Learning Center"
57,class,classroom,"Room 203, Jinhe International Building"
58,class,classroom,"Room 302, Wuzhong Mansion Learning Center"
59,class,classroom,"Room 231, Jinhe International Building"
60,class,classroom,"Room 310, Leqiao Learning Center"
61,class,classroom,"Room 323, Wuzhong Mansion Learning Center"
62,class,classroom,Central Scenery City - Harvard
63,class,classroom,"Room 214, Jinhe International Building"
64,class,classroom,"Room 301, Lohas Town Learning Center"
65,class,classroom,"Room 207, Jinhe International Building"
66,class,classroom,"Room 402, Wuzhong Mansion Learning Center"
67,class,classroom,"Room 313, Fangzhou Learning Center"
68,class,classroom,"Room 308, Wuzhong Mansion Learning Center"
69,class,classroom,"Room 310, Pingjiang New Town Learning Center"
70,class,classroom,"Room 321, Wuzhong Mansion Learning Center"
71,class,classroom,"Room 227, Jinhe International Building"
72,class,classroom,"Room 304, Wuzhong Mansion Learning Center"
73,class,classroom,"Room 318, Wuzhong Mansion Learning Center"
74,class,classroom,"Room 212, Xinghai Square Leaning Center"
75,class,classroom,"Room 105, Xijin Commercial Square Learning Center"
76,class,classroom,"Room 314, Leqiao Learning Center"
77,class,classroom,"Room 322, Wuzhong Mansion Learning Center"
78,class,classroom,"Room 221, Xinghai Square Leaning Center"
79,class,classroom,"Room 205, Jinhe International Building"
80,class,classroom,"Room 316, Fangzhou Learning Center"
81,class,classroom,"Room 220, Jinhe International Building"
82,class,classroom,"Room 206, Jinhe International Building"
83,class,classroom,"Room 217, Jinhe International Building"
84,class,classroom,"Room 305, Pingjiang New Town Learning Center"
85,class,classroom,"Room 222, Jinhe International Building"
86,class,classroom,"Room 220, Xinghai Square Leaning Center"
87,class,classroom,"Room 304, Shimao Plaza"
88,class,classroom,"Room 209, Jinhe International Building"
89,class,classroom,"Room 304, Lohas Town Learning Center"
90,class,classroom,"Room 301, Pingjiang New Town Learning Center"
91,class,classroom,"Room 236, Jinhe International Building"
92,class,classroom,"Room 309, Pingjiang New Town Learning Center"
93,class,classroom,"Room 103, Xinghai Square Leaning Center"
94,class,classroom,"Room 307, Leqiao Learning Center"
95,class,classroom,"Room 201, Yuexi"
96,class,classroom,"Room 103, Xijin Commercial Square Learning Center"
97,class,classroom,"Room 204, Jinhe International Building"
98,class,classroom,"Room 401, Wuzhong Mansion Learning Center"
99,class,classroom,"Room 201, Xinghai Square Leaning Center"
100,class,classroom,"Room 308, Sun Square Learning Center"
101,class,classroom,"Room 118, Xijin Commercial Square Learning Center"
102,class,classroom,"Room 302, Pingjiang New Town Learning Center"
103,class,classroom,"Room 208, Xinghai Square Leaning Center"
104,class,classroom,"Room 307, Sun Square Learning Center"
105,class,classroom,"Room 319, Wuzhong Mansion Learning Center"
106,class,classroom,"Room 218, Xinghai Square Leaning Center"
107,class,end date,"April 10, 2020"
108,class,end date,"June 26, 2020"
109,class,end date,"April 8, 2020"
110,class,end date,"June 13, 2020"
111,class,end date,"June 14, 2020"
112,class,end date,"June 19, 2020"
113,class,end time,18:25
114,class,end time,20:15
115,class,end time,18:00
116,class,end time,17:20
117,class,end time,19:30
118,class,start date,"March 6, 2020"
119,class,start date,"April 17, 2020"
120,class,start date,"March 4, 2020"
121,class,start time,18:15
122,class,start time,15:30
123,class,start time,16:00
124,class,start time,15:20
125,class,start time,17:30
126,class,start time,16:45
127,class,teacher,Dong Xinjie
128,class,teacher,Xie Jiahui
129,class,teacher,Xia Qin
130,class,teacher,He Chunrong
131,class,teacher,Li Jianjie
132,class,teacher,Ru Mengsha
133,class,teacher,Yang Rujia
134,class,teacher,Zhang Liping
135,class,teacher,Yang Liu
136,class,teacher,Pan Xiuxiu
137,class,teacher,Yuan Xi
138,class,teacher,Yan Pengfei
139,class,teacher,Wu Jin
140,class,teacher,Ma Luyao
141,class,teacher,He Yaolin
142,class,teacher,Cui Xiaohan
143,class,teacher,Lu Yifang
144,class,teacher,Xi Jing
145,class,teacher,Guan Yujia
146,class,teacher,Pan Yun
147,class,teacher,Yan Peilin
148,class,teacher,Xue Rubing
149,class,teacher,Liu Fangfang
150,class,teacher,Zhang Yiqi
151,class,teacher,Xu Qingqing
152,class,teacher,Shi Lidan
153,class,teacher,Zhou Wenhui
154,class,teacher,Huang Zhenhua
155,class,teacher,Geng Fan
156,class,teacher,Zhang Ying
157,class,teacher,Xu Qihao
158,class,teacher,Chen Qian
159,class,teacher,Chen Jinhua
160,class,teacher,Guo Lingge
161,class,teacher,Wang Xiaoyu
162,class,teacher,Zheng Jiamin
163,class,teacher,Liu Xiang
164,class,teacher,Wang Haixia
165,class,teacher,Xia Zhengdong
166,class,teacher,Jiang Binshuai
167,class,teacher,Min Li
168,class,teacher,Wang Panpan
169,class,teacher,Jin Chunfang
170,class,teacher,Shi Yijing
171,class,type,face-to-face & livestreaming
172,flight,flight information,"MU5391 of China Eastern Airlines, from Terminal 1 of Beijing Capital International Airport to Terminal 3 of Bao'an International Airport"
173,flight,flight information,"CA4325 of Air China, from Terminal 2 of Shuangliu International Airport to Terminal 3 of Bao'an International Airport"
174,flight,punctuality rate,93.1%
175,hospital,3.0t mri,true
176,hospital,address,"No. 26, Daoqian Street"
177,hospital,address,"No. 242, Guangji Road"
178,hospital,bus routes,"No. 2 (Tour), No. 40, No. 50, No. 202, No. 529, No. 200, No. 811, No. 89, No. 8, No. 55, No. 204, No. 309, or No. 501"
179,hospital,bus routes,"No. 2, No. 35, No. 38, No. 39, No. 40, No. 51, No. 60, No. 68, No. 69, No. 89, No. 303, No. 304, No. 308, No. 317, No. 321, No. 502, or No. 931"
180,hospital,bus routes,"No. 111, No. 209, No. 219, No. 528, No. 27, No. 100, No. 116, or No. 168"
181,hospital,bus routes,"No. 38, No. 40, No. 200, No. 308, No. 501, No. 511, or No. 931"
182,hospital,bus routes,No. 301 or No. 305
183,hospital,bus routes,"No. 7, No. 34, No. 44, No. 64, No. 85, No. 304, No. 315, No. 317, No. 318, No. 406, No. 415, No. 442, No. 522, No. 816, No. 921, or No. 949"
184,hospital,bus routes,"No. 2, No. 43, No. 63, No. 64, No. 65, No. 312, No. 315, No. 326, No. 505, No. 506, No. 508, No. 511, No. 512, No. 621, No. 663, No. 691, or No. 692"
185,hospital,bus routes,"No. 1, No. 3, No. 5, No. 55, No. 58, No. 62, No. 309, No. 318, No. 503, No. 513, No. 522, No. 553, or No. 932"
186,hospital,bus routes,"No. 5, No. 33, No. 88, No. 101, No. 811, No. 812, No. 872, or No. 876"
187,hospital,ct,true
188,hospital,dsa,true
189,hospital,key departments,cardiovascular
190,hospital,key departments,nephrology
191,hospital,key departments,neurology
192,hospital,key departments,burn
193,hospital,key departments,urology
194,hospital,key departments,psychology
195,hospital,key departments,dermatology
196,hospital,key departments,gynecology
197,hospital,key departments,neurosurgery
198,hospital,key departments,ophthalmology
199,hospital,key departments,stomatology
200,hospital,metro station,true
201,hospital,name,Suzhou Municipal Hospital (North Branch)
202,hospital,public or private,private
203,hospital,registration time,"7:15-11:00, 11:15-16:00"
204,hospital,registration time,"7:00-11:30,12:00-16:30"
205,hospital,registration time,7:15-16:00
206,hospital,registration time,"7:30-11:30, 12:30-16:30"
207,hospital,registration time,7:15-16:45
208,hospital,registration time,"7:00-11:00,12:00-16:30"
209,hospital,registration time,7:00-16:50
210,hospital,registration time,"7:45-11:45, 13:30-16:45"
211,hospital,registration time,"7:30-11:30, 13:00-16:30"
212,hospital,registration time,"7:15-11:20, 13:00-16:45"
213,hospital,registration time,"7:45-11:45, 12:30-16:45"
