	source	target	source_entity	target_entity	source_span	target_span	dialogue_id	turn_id	utterance_type	source_word_span
0	Hi, can you recommend some fascinating Japanese TV shows?	안녕하세요, 재미있는 일본 TV 프로그램을 추천해주실 수 있나요?	['Japanese TV shows?']	['일본 TV 프로그램']	[[39, 57]]	[[12, 22]]	movie_tv_goal_4-21###6617	0	user	[[6, 9]]
1	Alright, a Japanese TV show from what period?	네, 어떤 시기의 일본 TV 프로그램을 찾으시나요?	['Japanese TV show']	['일본 TV 프로그램']	[[11, 27]]	[[10, 20]]	movie_tv_goal_4-21###6617	0	system	[[2, 5]]
2	A Japanese TV show from the 2010s.	2010년대의 일본 TV 프로그램이요.	['Japanese TV show', '2010s.']	['일본 TV 프로그램', '2010년대']	[[2, 18], [28, 34]]	[[8, 18], [0, 6]]	movie_tv_goal_4-21###6617	1	user	[[1, 4], [6, 7]]
3	What kind of Japanese TV shows do you normally like to watch?	보통 어떤 종류의 일본 TV 프로그램을 시청하시나요?	['Japanese TV shows']	['일본 TV 프로그램']	[[13, 30]]	[[10, 20]]	movie_tv_goal_4-21###6617	1	system	[[3, 6]]
4	I prefer suspenseful TV shows, do you have anything for me?	저는 서스펜스가 있는 TV 프로그램을 선호하는데, 저게 맞는 것이 있나요?	['suspenseful']	['서스펜스가 있는']	[[9, 20]]	[[3, 11]]	movie_tv_goal_4-21###6617	2	user	[[2, 3]]
5	Ok, maybe Quartet is a good choice.	그렇다면, 아마 콰르텟이 좋겠네요.	['Quartet']	['콰르텟']	[[10, 17]]	[[9, 12]]	movie_tv_goal_4-21###6617	2	system	[[2, 3]]
6	When did it premiere?	첫 방영이 언제였나요?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	3	user	[]
7	It premiered on January 17, 2017.	2017년 1월 17일에 첫 방영되었습니다.	['January 17, 2017.']	['2017년 1월 17일']	[[16, 33]]	[[0, 12]]	movie_tv_goal_4-21###6617	3	system	[[3, 6]]
8	How about its Douban rating?	Douban 평점이 어떻게 되나요?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	4	user	[]
9	Its Douban rating is 9.1.	Douban 평점은 9.1점입니다.	['9.1.']	['9.1점']	[[21, 25]]	[[11, 15]]	movie_tv_goal_4-21###6617	4	system	[[4, 5]]
10	Who directed it?	누가 감독을 맡았나요?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	5	user	[]
11	It is directed by Nobuhiro Doi.	도이 노부히로가 감독을 맡았습니다.	['Nobuhiro Doi.']	['도이 노부히로']	[[18, 31]]	[[0, 7]]	movie_tv_goal_4-21###6617	5	system	[[4, 6]]
12	Thanks, could you recommend an Indian movie?	감사합니다, 인도 영화를 추천해주실 수 있나요?	['Indian']	['인도']	[[31, 37]]	[[7, 9]]	movie_tv_goal_4-21###6617	6	user	[[5, 6]]
13	Ok, what kind of Indian movies do you normally like to watch?	네, 보통 어떤 종류의 인도 영화를 시청하시나요?	['Indian']	['인도']	[[17, 23]]	[[13, 15]]	movie_tv_goal_4-21###6617	6	system	[[4, 5]]
14	I love Indian movies starring Shatrughan Sinha.	저는 샤트루간 신하가 주연을 맡은 인도 영화를 좋아합니다.	['Shatrughan Sinha.']	['샤트루간 신하']	[[30, 47]]	[[3, 10]]	movie_tv_goal_4-21###6617	7	user	[[5, 7]]
15	Well, then I recommend Khoon Bhari Maang.	음, 그렇다면 저는 쿤 바리 망을 추천합니다.	['Khoon Bhari Maang.']	['쿤 바리 망']	[[23, 41]]	[[11, 17]]	movie_tv_goal_4-21###6617	7	system	[[4, 7]]
16	How about its Douban rating?	Douban 평점이 어떻게 되나요?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	8	user	[]
17	Its Douban rating is 8.0.	Douban 평점은 8.0점입니다.	['8.0.']	['8.0점']	[[21, 25]]	[[11, 15]]	movie_tv_goal_4-21###6617	8	system	[[4, 5]]
18	How about its runtime?	상영 시간은 어느 정도인가요?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	9	user	[]
19	It is 172 minutes.	172분입니다.	['172 minutes.']	['172분']	[[6, 18]]	[[0, 4]]	movie_tv_goal_4-21###6617	9	system	[[2, 4]]
20	Ok, thank you for your patience, bye,	네, 오랜 시간 답변해주셔서 감사합니다. 안녕히 계세요.	[]	[]	[]	[]	movie_tv_goal_4-21###6617	10	user	[]
21	You are welcome. Hope you enjoy my recommendations.	천만에요. 제 추천이 도움이 되었기를 바랍니다.	[]	[]	[]	[]	movie_tv_goal_4-21###6617	10	system	[]
22	Hi, my friends are coming to visit me. Are there any scenic areas near Gusu District that are not that expensive?	안녕하세요, 제 친구들이 저를 보러 올 예정입니다. 구수구 근처에 많이 비싸지 않고 경치가 아름다운 곳이 있을까요?	['friends', 'Gusu District', 'not that expensive?']	['친구들', '구수구', '많이 비싸지 않고']	[[7, 14], [71, 84], [94, 113]]	[[9, 12], [29, 32], [37, 46]]	attraction_restaurant_goal_2-18###5165	0	user	[[2, 3], [14, 16], [18, 21]]
23	Alright, if you want to hang out with your friends, Humble Administrator's Garden is a nice place. It is a traditional Suzhou-style garden and also near to your home.	네, 친구들과 시간을 보내시길 원하신다면 졸정원이 좋습니다. 전통적인 쑤저우 양식의 정원이고 당신의 집과도 가깝습니다.	"['friends,', ""Humble Administrator's Garden"", 'Suzhou-style garden']"	['친구들', '졸정원', '쑤저우 양식의 정원']	[[43, 51], [52, 81], [119, 138]]	[[3, 6], [23, 26], [39, 49]]	attraction_restaurant_goal_2-18###5165	0	system	[[9, 10], [10, 13], [21, 23]]
24	Good, where is it?	좋네요, 어디에 있나요?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	1	user	[]
